,VLM1 -    5.5Â°-10.00m/s, , 
   -0.8493439,   -0.01664323, , 
    -0.846722,    0.01553826, , 
   -0.8414886,    0.04300473, , 
   -0.8336644,    0.06108252, , 
   -0.8232802,    0.07444577, , 
    -0.810377,    0.08630238, , 
   -0.7950057,     0.0980894, , 
    -0.777227,     0.1104764, , 
    -0.757111,      0.123722, , 
   -0.7347372,      0.137854, , 
   -0.7101938,     0.1527883, , 
   -0.6835777,     0.1683938, , 
    -0.654994,     0.1845208, , 
   -0.6245554,     0.2010107, , 
   -0.5923821,     0.2176998, , 
    -0.558601,       0.23442, , 
   -0.5233455,     0.2510003, , 
   -0.4867547,     0.2672675, , 
    -0.448973,     0.2830483, , 
   -0.4101496,     0.2981715, , 
   -0.3704375,     0.3124725, , 
   -0.3299937,     0.3258041, , 
   -0.2889776,     0.3380614, , 
   -0.2475511,     0.3492554, , 
   -0.2058778,     0.3596402, , 
   -0.1713805,     0.3715272, , 
   -0.1248805,      0.384995, , 
  -0.07852691,     0.3962902, , 
  -0.03252691,     0.4037591, , 
   0.03252691,     0.4037591, , 
   0.07852691,     0.3962902, , 
    0.1248805,      0.384995, , 
    0.1713805,     0.3715272, , 
    0.2058778,     0.3596402, , 
    0.2475511,     0.3492554, , 
    0.2889776,     0.3380614, , 
    0.3299937,     0.3258041, , 
    0.3704375,     0.3124725, , 
    0.4101496,     0.2981715, , 
     0.448973,     0.2830483, , 
    0.4867547,     0.2672675, , 
    0.5233455,     0.2510003, , 
     0.558601,       0.23442, , 
    0.5923821,     0.2176998, , 
    0.6245554,     0.2010107, , 
     0.654994,     0.1845208, , 
    0.6835777,     0.1683938, , 
    0.7101938,     0.1527883, , 
    0.7347372,      0.137854, , 
     0.757111,      0.123722, , 
     0.777227,     0.1104764, , 
    0.7950057,     0.0980894, , 
     0.810377,    0.08630238, , 
    0.8232802,    0.07444577, , 
    0.8336644,    0.06108252, , 
    0.8414886,    0.04300473, , 
     0.846722,    0.01553826, , 
    0.8493439,   -0.01664323, , 

