,VLM1 -   10.5Â°-10.00m/s, , 
   -0.8493439,    0.01982074, , 
    -0.846722,    0.05667831, , 
   -0.8414886,     0.1137472, , 
   -0.8336644,     0.1594054, , 
   -0.8232802,     0.1913995, , 
    -0.810377,     0.2174579, , 
   -0.7950057,     0.2415637, , 
    -0.777227,     0.2655703, , 
    -0.757111,     0.2902415, , 
   -0.7347372,     0.3157744, , 
   -0.7101938,      0.342114, , 
   -0.6835777,     0.3691114, , 
    -0.654994,     0.3965856, , 
   -0.6245554,     0.4243401, , 
   -0.5923821,     0.4521659, , 
    -0.558601,     0.4798431, , 
   -0.5233455,     0.5071419, , 
   -0.4867547,      0.533826, , 
    -0.448973,     0.5596571, , 
   -0.4101496,      0.584401, , 
   -0.3704375,     0.6078389, , 
   -0.3299937,     0.6297875, , 
   -0.2889776,     0.6501454, , 
   -0.2475511,     0.6690009, , 
   -0.2058778,     0.6864221, , 
   -0.1713805,     0.7069862, , 
   -0.1248805,     0.7322246, , 
  -0.07852691,     0.7527608, , 
  -0.03252691,     0.7669152, , 
   0.03252691,     0.7669152, , 
   0.07852691,     0.7527608, , 
    0.1248805,     0.7322246, , 
    0.1713805,     0.7069862, , 
    0.2058778,     0.6864221, , 
    0.2475511,     0.6690009, , 
    0.2889776,     0.6501454, , 
    0.3299937,     0.6297875, , 
    0.3704375,     0.6078389, , 
    0.4101496,      0.584401, , 
     0.448973,     0.5596571, , 
    0.4867547,      0.533826, , 
    0.5233455,     0.5071419, , 
     0.558601,     0.4798431, , 
    0.5923821,     0.4521659, , 
    0.6245554,     0.4243401, , 
     0.654994,     0.3965856, , 
    0.6835777,     0.3691114, , 
    0.7101938,      0.342114, , 
    0.7347372,     0.3157744, , 
     0.757111,     0.2902415, , 
     0.777227,     0.2655703, , 
    0.7950057,     0.2415637, , 
     0.810377,     0.2174579, , 
    0.8232802,     0.1913995, , 
    0.8336644,     0.1594054, , 
    0.8414886,     0.1137472, , 
     0.846722,    0.05667831, , 
    0.8493439,    0.01982074, , 

