,VLM1 -    8.3Â°-10.00m/s, , 
   -0.8493439,   0.004155184, , 
    -0.846722,       0.13775, , 
   -0.8414886,     0.2828411, , 
   -0.8336644,      0.381128, , 
   -0.8232802,      0.441381, , 
    -0.810377,      0.482703, , 
   -0.7950057,     0.5142285, , 
    -0.777227,     0.5401232, , 
    -0.757111,     0.5621167, , 
   -0.7347372,     0.5807939, , 
   -0.7101938,     0.5963326, , 
   -0.6835777,     0.6088372, , 
    -0.654994,     0.6184385, , 
   -0.6245554,     0.6253024, , 
   -0.5923821,     0.6296144, , 
    -0.558601,     0.6315645, , 
   -0.5233455,     0.6313383, , 
   -0.4867547,      0.629111, , 
    -0.448973,     0.6250467, , 
   -0.4101496,     0.6193001, , 
   -0.3704375,     0.6120231, , 
   -0.3299937,     0.6033789, , 
   -0.2889776,     0.5935774, , 
   -0.2475511,     0.5829644, , 
   -0.2058778,     0.5719681, , 
   -0.1713805,     0.5374023, , 
   -0.1248805,     0.4514285, , 
  -0.07852691,     0.3923116, , 
  -0.03252691,     0.3494692, , 
   0.03252691,     0.3494692, , 
   0.07852691,     0.3923116, , 
    0.1248805,     0.4514285, , 
    0.1713805,     0.5374023, , 
    0.2058778,     0.5719681, , 
    0.2475511,     0.5829644, , 
    0.2889776,     0.5935774, , 
    0.3299937,     0.6033789, , 
    0.3704375,     0.6120231, , 
    0.4101496,     0.6193001, , 
     0.448973,     0.6250467, , 
    0.4867547,      0.629111, , 
    0.5233455,     0.6313383, , 
     0.558601,     0.6315645, , 
    0.5923821,     0.6296144, , 
    0.6245554,     0.6253024, , 
     0.654994,     0.6184385, , 
    0.6835777,     0.6088372, , 
    0.7101938,     0.5963326, , 
    0.7347372,     0.5807939, , 
     0.757111,     0.5621167, , 
     0.777227,     0.5401232, , 
    0.7950057,     0.5142285, , 
     0.810377,      0.482703, , 
    0.8232802,      0.441381, , 
    0.8336644,      0.381128, , 
    0.8414886,     0.2828411, , 
     0.846722,       0.13775, , 
    0.8493439,   0.004155184, , 

