,VLM1 -    7.3Â°-10.00m/s, , 
   -0.8493439,  -0.005913848, , 
    -0.846722,    0.03203441, , 
   -0.8414886,    0.07019829, , 
   -0.8336644,    0.09717108, , 
   -0.8232802,     0.1166439, , 
    -0.810377,     0.1332851, , 
   -0.7950057,     0.1493046, , 
    -0.777227,      0.165733, , 
    -0.757111,     0.1829816, , 
   -0.7347372,     0.2011262, , 
   -0.7101938,     0.2200872, , 
   -0.6835777,     0.2397237, , 
    -0.654994,     0.2598725, , 
   -0.6245554,       0.28036, , 
   -0.5923821,      0.301005, , 
    -0.558601,     0.3216199, , 
   -0.5233455,     0.3420122, , 
   -0.4867547,     0.3619856, , 
    -0.448973,     0.3813431, , 
   -0.4101496,     0.3998907, , 
   -0.3704375,     0.4174441, , 
   -0.3299937,     0.4338427, , 
   -0.2889776,      0.448982, , 
   -0.2475511,     0.4629006, , 
   -0.2058778,     0.4758267, , 
   -0.1713805,      0.490875, , 
   -0.1248805,     0.5084459, , 
  -0.07852691,     0.5230257, , 
  -0.03252691,     0.5328578, , 
   0.03252691,     0.5328578, , 
   0.07852691,     0.5230257, , 
    0.1248805,     0.5084459, , 
    0.1713805,      0.490875, , 
    0.2058778,     0.4758267, , 
    0.2475511,     0.4629006, , 
    0.2889776,      0.448982, , 
    0.3299937,     0.4338427, , 
    0.3704375,     0.4174441, , 
    0.4101496,     0.3998907, , 
     0.448973,     0.3813431, , 
    0.4867547,     0.3619856, , 
    0.5233455,     0.3420122, , 
     0.558601,     0.3216199, , 
    0.5923821,      0.301005, , 
    0.6245554,       0.28036, , 
     0.654994,     0.2598725, , 
    0.6835777,     0.2397237, , 
    0.7101938,     0.2200872, , 
    0.7347372,     0.2011262, , 
     0.757111,     0.1829816, , 
     0.777227,      0.165733, , 
    0.7950057,     0.1493046, , 
     0.810377,     0.1332851, , 
    0.8232802,     0.1166439, , 
    0.8336644,    0.09717108, , 
    0.8414886,    0.07019829, , 
     0.846722,    0.03203441, , 
    0.8493439,  -0.005913848, , 

