,VLM1 -   11.0Â°-10.00m/s, , 
   -0.8493439,    0.02443401, , 
    -0.846722,    0.05976195, , 
   -0.8414886,     0.1196161, , 
   -0.8336644,      0.168387, , 
   -0.8232802,      0.202435, , 
    -0.810377,     0.2299976, , 
   -0.7950057,     0.2553683, , 
    -0.777227,     0.2805443, , 
    -0.757111,     0.3063513, , 
   -0.7347372,     0.3330088, , 
   -0.7101938,     0.3604672, , 
   -0.6835777,     0.3885779, , 
    -0.654994,     0.4171578, , 
   -0.6245554,     0.4460074, , 
   -0.5923821,     0.4749143, , 
    -0.558601,     0.5036537, , 
   -0.5233455,     0.5319906, , 
   -0.4867547,      0.559683, , 
    -0.448973,     0.5864863, , 
   -0.4101496,     0.6121606, , 
   -0.3704375,      0.636482, , 
   -0.3299937,     0.6592641, , 
   -0.2889776,      0.680406, , 
   -0.2475511,     0.7000036, , 
   -0.2058778,     0.7180876, , 
   -0.1713805,     0.7394557, , 
   -0.1248805,     0.7658742, , 
  -0.07852691,     0.7873064, , 
  -0.03252691,     0.8021153, , 
   0.03252691,     0.8021153, , 
   0.07852691,     0.7873064, , 
    0.1248805,     0.7658742, , 
    0.1713805,     0.7394557, , 
    0.2058778,     0.7180876, , 
    0.2475511,     0.7000036, , 
    0.2889776,      0.680406, , 
    0.3299937,     0.6592641, , 
    0.3704375,      0.636482, , 
    0.4101496,     0.6121606, , 
     0.448973,     0.5864863, , 
    0.4867547,      0.559683, , 
    0.5233455,     0.5319906, , 
     0.558601,     0.5036537, , 
    0.5923821,     0.4749143, , 
    0.6245554,     0.4460074, , 
     0.654994,     0.4171578, , 
    0.6835777,     0.3885779, , 
    0.7101938,     0.3604672, , 
    0.7347372,     0.3330088, , 
     0.757111,     0.3063513, , 
     0.777227,     0.2805443, , 
    0.7950057,     0.2553683, , 
     0.810377,     0.2299976, , 
    0.8232802,      0.202435, , 
    0.8336644,      0.168387, , 
    0.8414886,     0.1196161, , 
     0.846722,    0.05976195, , 
    0.8493439,    0.02443401, , 

